Author,Title,Year,Publication,DOI
"Dian Liu, Zi Liu, Yunpeng Xia, Zhikang Wang, Jiangning Song, and Dong-Jun Yu",TransC-ac4C: Identification of N4-Acetylcytidine (ac4C) Sites in mRNA Using Deep Learning,2024,"Comput. Biol. Bioinformatics 21, 5 (Sept.-Oct. 2024)",https://doi.org/10.1109/TCBB.2024.3386972
"Jie Wei, Binbin Li, Bin Jiao, Haozhe Ling, and Ruiyao Guo",Fault Diagnosis of Motor Rotor Broken Bar Based on CNN Neural Network,2024,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3640115.3640166
"Shashi Kant Tiwari, Shweta Sinha, Karamjit Kaur Sekhon, and Ram Sewak Singh",Diagnosis of Cardiac Diseases Using Ranked Parameters for Machine Learning,2024,"Association for Computing Machinery, New York, NY, USA, Article 155",https://doi.org/10.1145/3647444.3652459
"Duy Khanh Ninh, Thi-Ngoc-Canh Doan, Chi Khanh Ninh, Thanh Xuan Nguyen-Thi, and Nhan Le Thanh",Fruit recognition based on near-infrared spectroscopy using deep neural networks,2021,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3453800.3453817
Chamath Amarasinghe and Nimesha Ranasinghe,"SipBit: A Sensing Platform to Recognize Beverage Type, Volume, and Sugar Content Using Electrical Impedance Spectroscopy and Deep Learning",2022,"Association for Computing Machinery, New York, NY, USA, Article 371",https://doi.org/10.1145/3491101.3519713
"Tianxu Zhang, Yao Ma, and Hang Lin",Deep Learning Method for Spectral Classification,2021,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3441250.3441268
"Yixian Huang, Huacong Wu, Ying Cai, Danhong Dong, Sicong Yu, Yigang Chen, Zihao Zhu, Yang-Chi-Dung Lin, Hsien-Da Huang, and Hsi-Yuan Huang",DeepDrugmiR: a two-stage deep learning method for inferring small molecules' regulatory effects on microRNA expression,2024,"Association for Computing Machinery, New York, NY, USA, Article 10",https://doi.org/10.1145/3698587.3701351
"Zhengmin Li, Enyi Tang, Xin Chen, Linzhang Wang, and Xuandong Li",Graph Neural Network based Two-Phase Fault Localization Approach,2022,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3545258.3545266
"David Südholt, Alec Wright, Cumhur Erkut, and Vesa Välimäki",Pruning Deep Neural Network Models of Guitar Distortion Effects,2022,"Audio, Speech and Lang. Proc. 31 (2023)",https://doi.org/10.1109/TASLP.2022.3223257
"Nidhi Kundu, Geeta Rani, and Vijaypal Singh Dhaka",Seeds Classification and Quality Testing Using Deep Learning and YOLO v5,2022,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3484824.3484913
"Konstantinos Chatzilygeroudis, Ioannis Hatzilygeroudis, and Isidoros Perikos",Machine Learning Basics,2021,"). Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3447404.3447414
"Xiaohong Peng, Tianyu Zhou, Zhenlu Wu, and Zhao Li",A Survey of Deep Learning for Intelligent Feeding in Smart Fish Farming,2024,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3653081.3653179
"Chunping Tan, Guan Liang, Yan Yang, Yafei Wang, and Zhongyu Wei",An on-line detection method of pork quality using hyperspectral imaging combined with machine learning,2025,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3718677.3718722
Jingtao Gong and Benjawan Srisura,Heart Sound Detection Based on Bidirectional Multilayer Recurrent Convolutional Neural Network,2023,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3582084.3582092
